B,C,trial,stability_min_eig
2,18,3,-0.15010901347752592
2,18,4,-0.03577307978202428
2,19,0,-9.924540518640026e-16
2,19,1,-9.80569897014653e-16
2,19,2,-0.01964610182098318
2,19,3,-0.044109472629280125
2,19,4,-0.05677957983688982
2,20,0,-9.995240358093955e-16
2,20,1,-1.7394516167187666e-15
2,20,2,-1.1883347577711915e-15
2,20,3,-1.0431046682228268e-15
2,20,4,-0.009797056461908288
2,21,0,-1.0308987095117127e-15
2,21,1,-6.484419686673937e-16
2,21,2,-0.030402841253410477
2,21,3,-9.24659692166085e-16
2,21,4,-1.8747151888039937e-15
2,22,0,-1.0560697172050539e-15
2,22,1,-8.370710347813813e-16
2,22,2,-9.630320896432146e-16
2,22,3,-0.05206312956022018
2,22,4,-1.1443951495285108e-15
2,23,0,-8.858376019623089e-16
2,23,1,-1.5974950130689633e-15
2,23,2,-1.2276538604211277e-15
2,23,3,-1.98935794546303e-15
2,23,4,-2.2506137460670198e-15
2,24,0,-4.4257285213882915e-16
2,24,1,-0.05380876141503647
2,24,2,-6.561586212462303e-16
2,24,3,-2.421646271784035e-15
2,24,4,-6.355047730300054e-16
3,4,0,-0.44825271474848244
3,4,1,-0.4788536428977614
3,4,2,-0.4867800136057519
3,4,3,-0.5796040857858126
3,4,4,-0.5694941273179202
3,5,0,-0.4625081621261687
3,5,1,-0.42014876309930005
3,5,2,-0.544047092200263
3,5,3,-0.553390094186716
3,5,4,-0.4465166836866675
3,6,0,-0.5912080183994548
3,6,1,-0.5225094700560706
3,6,2,-0.46090703730865923
3,6,3,-0.6215692192263861
3,6,4,-0.5153177851647935
3,7,0,-0.5925487687244372
3,7,1,-0.37409959000131954
3,7,2,-0.41615790022187765
3,7,3,-0.6467347061612732
3,7,4,-0.44719479286594843
3,8,0,-0.3786985986586512
3,8,1,-0.4861118049085073
3,8,2,-0.33818418001976736
3,8,3,-0.539614503545488
3,8,4,-0.5592176949530454
3,9,0,-0.2602356248624771
3,9,1,-0.4059295506192145
3,9,2,-0.3995605076895123
3,9,3,-0.603212872855398
3,9,4,-0.30872594655287283
3,10,0,-0.45762255926642903
3,10,1,-0.2762565815667518
3,10,2,-0.30738272278049306
3,10,3,-0.39422036156151147
3,10,4,-0.43752184661802207
3,11,0,-0.4511646402307375
3,11,1,-0.3334349562847744
3,11,2,-0.32263887828131926
3,11,3,-0.5705684427764749
3,11,4,-0.33319719666114833
3,12,0,-0.26583616617818173
3,12,1,-0.5940189797923466
3,12,2,-0.44098781885887606
3,12,3,-0.3212874006838927
3,12,4,-0.23858676809472454
3,13,0,-0.0898410645334673
3,13,1,-0.16489964133164103
3,13,2,-0.389093840605534
3,13,3,-0.3062353598032376
3,13,4,-0.3070873100954617
3,14,0,-0.3465615600237124
3,14,1,-0.14005096505079653
3,14,2,-0.33717190179933815
3,14,3,-0.5232240395119705
3,14,4,-0.22142977602984576
3,15,0,-0.36696800165023874
3,15,1,-0.10387318386675044
3,15,2,-0.21243135471592367
3,15,3,-0.1124574324044583
